SRR10507658|k141_3147_40	siaP|siaP_733330_bv	100.0	239	0	0	1	239	1	239	1.5e-130	468.0
SRR10507662|k141_13867_69	nanU|nanU_45837_bv	73.6	550	145	0	1	550	1	550	8.2e-246	851.7
SRR10507665|k141_43922_41	nanU|nanU_378182_bv	45.8	548	272	10	16	548	3	540	5.5e-125	450.3
SRR10507660|k141_11875_142	nanU|nanU_216147_bv	72.2	479	131	2	1	478	1	478	3.1e-201	703.4
SRR10507658|k141_31640_6	satD|WP_207616619.1	45.1	268	147	0	1	268	1	268	3.7e-63	244.2
SRR10507662|k141_44351_214	nanR|nanR_1411_uniprot	43.8	479	266	2	1	477	1	478	6.6e-114	413.3
SRR10507658|k141_11379_234	nanA|nanA_5472_bv	100.0	297	0	0	1	297	1	297	5.4e-167	589.0
SRR10507665|k141_21194_5	nanU|nanU_157462_bv	100.0	519	0	0	1	519	1	519	1.1e-308	1060.4
SRR10507666|k141_27510_6	satD|WP_207616619.1	45.1	268	147	0	1	268	1	268	3.7e-63	244.2
SRR10507666|k141_12471_59	nanE|nanE_8421_bv	100.0	229	0	0	1	229	33	261	8.8e-125	448.4
SRR10507660|k141_27770_5	nagA|nagA_2492_bv	100.0	401	0	0	1	401	1	401	4.6e-230	798.9
SRR10507666|k141_12523_43	siaM|siaM_3328_bv	100.0	433	0	0	1	433	1	433	1.8e-227	790.4
SRR10507665|k141_10713_37	nanU|nanU_453965_bv	41.1	593	309	10	1	583	2	564	3.9e-121	437.6
SRR10507666|k141_40091_33	siaM|siaM_2231_bv	100.0	434	0	0	1	434	1	434	4.0e-227	789.3
SRR10507666|k141_12523_41	siaP|siaP_733330_bv	100.0	239	0	0	1	239	1	239	1.5e-130	468.0
SRR10507660|k141_52838_87	nanU|nanU_45837_bv	73.6	550	145	0	1	550	1	550	8.2e-246	851.7
SRR10507665|k141_51859_58	nanU|nanU_291680_bv	42.6	493	266	8	1	490	10	488	1.2e-115	419.1
SRR10507655|k141_86207_88	satB|HMA59673.1	42.0	314	179	2	1	313	1	312	4.2e-61	237.3
SRR10507659|k141_35572_2	nanU|nanU_38453_bv	54.6	577	244	6	17	581	25	595	2.3e-174	614.4
SRR10507666|k141_18488_53	ompF|ompF_6607_bv	100.0	371	0	0	1	371	11	381	3.2e-217	756.1
SRR10507658|k141_14628_11	satD|WP_022922052.1	47.9	257	121	2	5	249	20	275	2.5e-58	228.0
SRR10507662|k141_38285_64	nanU|nanU_291680_bv	42.8	493	265	8	1	490	10	488	1.1e-116	422.5
SRR10507655|k141_4154_8	kpsT|kpsT_10521_bv	47.3	241	126	1	6	245	1	241	1.2e-58	228.8
SRR10507665|k141_19596_142	nanU|nanU_216147_bv	72.2	479	131	2	1	478	1	478	3.1e-201	703.4
SRR10507658|k141_3147_41	siaQ|siaQ_388033_bv	100.0	167	0	0	1	167	5	171	1.1e-81	304.7
SRR10507666|k141_12523_42	siaQ|siaQ_388033_bv	100.0	167	0	0	1	167	5	171	1.1e-81	304.7
SRR10507666|k141_31756_47	satD|WP_062009075.1	41.1	231	135	1	3	232	14	244	1.5e-43	178.7
SRR10507666|k141_3934_23	nanU|nanU_38453_bv	54.6	577	244	6	17	581	25	595	2.3e-174	614.4
SRR10507658|k141_31782_21	siaT|siaT_19174_uniprot	90.6	425	40	0	1	425	1	425	3.2e-205	716.5
SRR10507666|k141_18311_25	satD|WP_022922052.1	47.9	257	121	2	5	249	20	275	2.5e-58	228.0
SRR10507658|k141_11379_231	nanK|nanK_717_bv	100.0	291	0	0	1	291	1	291	3.4e-158	559.7
SRR10507666|k141_12471_60	nanK|nanK_717_bv	100.0	291	0	0	1	291	1	291	3.4e-158	559.7
SRR10507666|k141_51130_39	ompF|ompF_6268_bv	65.9	361	112	4	1	351	1	360	3.8e-135	483.4
SRR10507654|k141_82994_4	nanU|nanU_24704_bv	100.0	524	0	0	1	524	1	524	0.0e+00	1082.4
SRR10507666|k141_12471_129	nagB|nagB_62438_bv	44.0	225	124	2	14	237	24	247	2.8e-49	197.6
SRR10507666|k141_31756_50	satB|MBM3693078.1	40.0	315	179	2	1	307	1	313	1.2e-55	219.2
SRR10507655|k141_37219_26	neuB|neuB_50101_bv	42.6	282	156	5	5	286	15	290	9.3e-55	216.1
SRR10507658|k141_11379_162	nagB|nagB_62438_bv	44.0	225	124	2	14	237	24	247	2.8e-49	197.6
SRR10507658|k141_11379_235	nanR|nanR_8_bv	100.0	263	0	0	1	263	1	263	4.1e-126	453.0
SRR10507658|k141_11379_232	nanE|nanE_8421_bv	100.0	229	0	0	1	229	33	261	8.8e-125	448.4
SRR10507658|k141_14628_8	satB|MFN4189717.1	43.8	324	152	2	14	337	12	305	1.8e-65	251.9
SRR10507658|k141_15461_8	satD|WP_249736668.1	40.2	229	125	7	21	244	41	262	2.5e-32	141.4
SRR10507658|k141_29756_70	satD|WP_121660542.1	40.2	219	112	8	4	208	3	216	4.6e-25	117.1
SRR10507654|k141_49893_5	neuB|neuB_50101_bv	42.6	282	156	5	5	286	15	290	9.3e-55	216.1
SRR10507666|k141_64_87	satD|HJG53471.1	40.5	190	107	3	28	213	37	224	7.3e-26	119.8
